"check","computed","expected","status"
"n analytic cohort (d_b, Bhatt-complete)","9402.000","9463.000","FAIL"
"n never-smokers (d, pre-filter)","106.000","107.000","FAIL"
"n GOLD 0 (d, pre-filter)","4308.000","4327.000","FAIL"
"n PRISm (d, pre-filter)","1238.000","1254.000","FAIL"
"n GOLD 1-4 (d, pre-filter)","4394.000","4421.000","FAIL"
"n never-smokers (analytic, correct)","106.000","107.000","FAIL"
"n GOLD 0 (analytic, correct)","4054.000","4073.000","FAIL"
"n PRISm (analytic, correct)","1129.000","1144.000","FAIL"
"n GOLD 1-4 (analytic, correct)","4113.000","4139.000","FAIL"
"agreement (%)","91.023","91.000","PASS"
"kappa","0.821","0.820","PASS"
"sensitivity (%)","88.049","88.000","PASS"
"specificity (%)","94.443","94.000","PASS"
"r(ESI, LAA-950) all-strata","0.773","0.770","PASS"
"r(ESI, LAA-950) GOLD 0","0.080","0.080","PASS"
"r(ESI, LAA-950) GOLD 3","0.577","0.580","PASS"
"ΔESI (post-pre) mean","-0.089","-0.090","PASS"
"GOLD 0 ESI-slope (mL/yr)","-4.733","-4.700","PASS"
"COPD-major all-cause HR (CT)","2.591","2.590","PASS"
"COPD-major all-cause HR (ESI)","2.395","2.390","PASS"
"COPD-major resp HR (CT)","36.266","36.270","PASS"
"COPD-major resp HR (ESI)","30.952","30.950","PASS"
"COPD-major exac IRR (CT)","5.053","5.070","PASS"
"COPD-major exac IRR (ESI)","4.468","4.470","PASS"
"Both-COPD all-cause HR","2.024","2.020","PASS"
"CT-only all-cause HR","1.530","1.530","PASS"
"ESI-only all-cause HR","1.257","1.260","PASS"
"ESI-only CVD HR","2.290","2.290","PASS"
"Both-COPD exac IRR","3.148","3.170","PASS"
